pdf_key;name;current_lat;current_lon;google_search_url;google_maps_url_or_coords;notes
PDF_001;Ancol Art Market;-6.126657;106.839134;https://www.google.com/maps/search/?api=1&query=Ancol%20Art%20Market%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_002;Allianz Ecopark & Faunaland;-6.125928;106.836324;https://www.google.com/maps/search/?api=1&query=Allianz%20Ecopark%20%26%20Faunaland%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_003;Dunia Fantasi;-6.123834;106.832393;https://www.google.com/maps/search/?api=1&query=Dunia%20Fantasi%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_004;Ancol Lagoon Beach;-6.127039;106.843987;https://www.google.com/maps/search/?api=1&query=Ancol%20Lagoon%20Beach%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_005;Ocean Dream Samudera;-6.124451;106.842725;https://www.google.com/maps/search/?api=1&query=Ocean%20Dream%20Samudera%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_006;Putri Duyung Resort;-6.121691;106.841407;https://www.google.com/maps/search/?api=1&query=Putri%20Duyung%20Resort%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_007;Atlantis Water Adventures Ancol;-6.124389;106.839667;https://www.google.com/maps/search/?api=1&query=Atlantis%20Water%20Adventures%20Ancol%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_008;Sea World Ancol;-6.125771;106.842787;https://www.google.com/maps/search/?api=1&query=Sea%20World%20Ancol%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_009;Jetski Cafe;-6.103375;106.790257;https://www.google.com/maps/search/?api=1&query=Jetski%20Cafe%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_010;Angke Kapuk Mangrove Tourism;-6.10525;106.735611;https://www.google.com/maps/search/?api=1&query=Angke%20Kapuk%20Mangrove%20Tourism%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
PDF_011;Muara Baru Modern Fish Market;-6.107106;106.779358;https://www.google.com/maps/search/?api=1&query=Muara%20Baru%20Modern%20Fish%20Market%2C%20DKI%20Jakarta%2C%20Indonesia;;Paste link share Google Maps atau lat,lon setelah verifikasi
