osm_id,osm_type,name,category,subcategory,latitude,longitude,alamat,phone,website,opening_hours,cuisine,brand,is_minimarket_brand,tipe_fasilitas,name_lower
309939284,node,Hypermart,shop,supermarket,-6.1946879,106.8156052,,,,,,,True,minimarket,hypermart
318548955,node,Grand Lucky,shop,supermarket,-6.1332263,106.8306577,,,,,,,False,minimarket,grand lucky
319248799,node,The FoodHall,shop,supermarket,-6.2276886,106.7973554,,,,"PH,Mo-Su 10:00-22:00",,The FoodHall,False,minimarket,the foodhall
321221315,node,Foodmart Fresh Plaza Semanggi,shop,supermarket,-6.2199982,106.8141554,,,,10:00-22:00,,,False,minimarket,foodmart fresh plaza semanggi
322773849,node,Angke Fish Market,shop,supermarket,-6.10717,106.7745403,,,,,,,False,minimarket,angke fish market
352960233,node,Carrefour,shop,supermarket,-6.2230704,106.8260443,,,,,,Carrefour,True,minimarket,carrefour
355038895,node,Hero,shop,supermarket,-6.2650962,106.8207591,,,,,,,True,minimarket,hero
360166067,node,Giant,shop,supermarket,-6.2893523,106.7772184,,,,,,,True,minimarket,giant
360585458,node,Carrefour,shop,supermarket,-6.2205653,106.7827417,"Jl. Letjen Jendral Soepeno No.ITC Permata Hijau Lt. Dasar,, South Jakarta, 12210",,,,,Carrefour,True,minimarket,carrefour
412686079,node,Super Indo,shop,supermarket,-6.1654142,106.7820668,,,,,,Super Indo,False,minimarket,super indo
684150563,node,Indomaret Bona Indah,shop,convenience,-6.2974688,106.7826634,,,,,,,True,minimarket,indomaret bona indah
746488008,node,Farmer's Market,shop,supermarket,-6.2183153,106.8351265,,,,,,,False,minimarket,farmer's market
1345742929,node,Lotte Mart,shop,supermarket,-6.2268317,106.8013602,,,,24/7,,Lotte Mart,False,minimarket,lotte mart
1349940924,node,Alfamart,shop,convenience,-6.3411492,106.8632015,,,,,,,True,minimarket,alfamart
1395471046,node,7-Eleven,shop,convenience,-6.221717,106.8327195,"Pasar Festival, Jalan Hr. Rasuna Said No.Kav C 22, South Jakarta, 12910",,,00:00-24:00,,7-Eleven,False,minimarket,7-eleven
1395485007,node,Star Mart,shop,convenience,-6.2204316,106.8358151,,,,,,Star Mart,False,minimarket,star mart
1541706845,node,Super Indo,shop,supermarket,-6.2165785,106.7652267,,,,,,Super Indo,False,minimarket,super indo
1804076452,node,Circle K,shop,convenience,-6.2072186,106.8269636,,,,,,Circle K,True,minimarket,circle k
1868681730,node,Alfamidi,shop,convenience,-6.2456085,106.9350145,,,,,,Alfamidi,True,minimarket,alfamidi
1868682296,node,Salira,shop,convenience,-6.2427582,106.9342393,,,,,,,False,minimarket,salira
1868682449,node,Alfa Express,shop,convenience,-6.2434194,106.9343037,,,,,,Alfa Express,False,minimarket,alfa express
1868697619,node,7-Eleven,shop,convenience,-6.2357044,106.8467778,,,,,,7-Eleven,False,minimarket,7-eleven
1970307834,node,7-Eleven,shop,convenience,-6.1934402,106.7824756,,,,,,7-Eleven,False,minimarket,7-eleven
1970308743,node,Indomaret,shop,convenience,-6.1990293,106.7821564,,,,,,,True,minimarket,indomaret
1970316930,node,Lawson,shop,convenience,-6.2007729,106.7827568,"Jalan KH. Syahdan No.1, Jakarta Barat",+62 812-1922-1751,,24/7,,Lawson,True,minimarket,lawson
1977593425,node,Indomaret,shop,convenience,-6.2013241,106.7827439,,,https://indomaret.co.id/,,,Indomaret,True,minimarket,indomaret
1977593437,node,Indomaret,shop,convenience,-6.2008589,106.7851166,Jalan KH. Syahdan No.1,+62 811-9690-589,,,,Indomaret,True,minimarket,indomaret
