id_poi;osm_id;nama;nama_en;nama_id;kategori;sub_kategori;latitude;longitude;province;district;subdistrict;village;postcode;alamat_jalan;nomor_jalan;alamat_lengkap;alamat_terstruktur;deskripsi;teks_gabungan;tahun_berdiri;operator;akses;kapasitas;heritage;jam_buka;harga_tiket;fasilitas;website;telepon;email;wikipedia;wikidata;has_deskripsi;persen_kelengkapan;jumlah_tags;raw_tags;kode_pos;full_address
1;('node', 359852056);Wayang Museum;nan;nan;tourism;museum;-6.134.815;106.812.509;Jawa;Jakarta Barat;Taman Sari;Pinangsia;11110;Jl. Pintu Besar Utara No.27;nan;nan;Jl. Pintu Besar Utara No.27, Kel. Pinangsia, Kec. Taman Sari, Jakarta Barat, Jawa, 11110;;Nama: Wayang Museum. Kategori: tourism. Jenis: museum. Lokasi: Taman Sari, Jakarta Barat, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Tu-Su 09:00-16:30. Tiket: nan;nan;nan;nan;-;-;Tu-Su 09:00-16:30;nan;-;nan;nan;-;en:Wayang Museum;Q2854954;TRUE;90.0;11;"{""addr:city"": ""West Jakarta"", ""addr:postcode"": ""11110"", ""addr:street"": ""Jl. Pintu Besar Utara No.27"", ""name"": ""Wayang Museum"", ""name:nl"": ""Wajangmuseum"", ""old_name"": ""De Oude Hollandsche Kerk";;
2;('node', 4243812179);Museum Sejarah Jakarta;Jakarta History Museum;nan;tourism;museum;-6.135.155;106.813.289;Jawa;Jakarta Barat;Taman Sari;Pinangsia;11110;Jalan Taman Fatahillah;1;nan;Jalan Taman Fatahillah, Kel. Pinangsia, Kec. Taman Sari, Jakarta Barat, Jawa, 11110;id:Museum Fatahillah;Nama: Museum Sejarah Jakarta. Kategori: tourism. Jenis: museum. Lokasi: Taman Sari, Jakarta Barat, Jawa. Deskripsi: id:Museum Fatahillah. Dikelola oleh: Government. Berdiri sejak: nan. Jam Operasional: Tu-Su 09:00-15:00. Tiket: nan. Fasilitas: wheelchair:yes;nan;Government;nan;-;-;Tu-Su 09:00-15:00;nan;wheelchair:yes;nan;216929101;-;id:Museum Fatahillah;Q1356004;TRUE;100.0;19;"{""addr:city"": ""Taman Sari, West Jakarta"", ""addr:postcode"": ""11110"", ""addr:street"": ""Jalan Taman Fatahillah"", ""name"": ""Museum Sejarah Jakarta"", ""opening_hours"": ""Tu-Su 09:00-15:00"", ""tourism"": ""museum"", ""wikidata"": ""Q1356004"", ""wikimedia_commons"": ""Category:Jakarta History Museum"", ""wikipedia"": ""id:Museum Fatahillah"", ""addr:housenumber"": ""1"", ""alt_name"": ""Museum Fatahillah"", ""museum"": ""history"", ""name:en"": ""Jakarta History Museum"", ""name:ja"": ""ジャカルタ歴史博物館"", ""operator"": ""Government"", ""operator:type"": ""public"", ""phone"": ""0216929101"", ""tactile_paving"": ""no"", ""wheelchair"": ""yes""}";11110;Museum Sejarah Jakarta, 1, Taman Fatahillah, RW 06, Pinangsia, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11110, Indonesia
3;('node', 4245410503);Museum Bahari;Maritime Museum;nan;tourism;museum;-6.126.829;106.808.318;Jawa;Jakarta Utara;Penjaringan;Penjaringan;14470;Jl. Ps. Ikan No.1;nan;nan;Jl. Ps. Ikan No.1, Kel. Penjaringan, Kec. Penjaringan, Jakarta Utara, Jawa, 14470;en:Maritime Museum Indonesia;Nama: Museum Bahari. Kategori: tourism. Jenis: museum. Lokasi: Penjaringan, Jakarta Utara, Jawa. Deskripsi: en:Maritime Museum Indonesia. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Tu-Su 08:00-16:00. Tiket: nan;nan;nan;nan;-;-;Tu-Su 08:00-16:00;nan;-;nan;nan;-;en:Maritime Museum (Indonesia);Q2030607;TRUE;100.0;14;"{""addr:city"": ""North Jakarta"", ""addr:postcode"": ""14470"", ""addr:street"": ""Jl. Ps. Ikan No.1"", ""name"": ""Museum Bahari"", ""name:nl"": ""Maritiem Museum"", ""opening_hours"": ""Tu-Su 08:00-16:00"", ""tourism"": ""museum"", ""wikidata"": ""Q2030607"", ""wikimedia_commons"": ""Category:Jakarta Maritime Museum"", ""wikipedia"": ""en:Maritime Museum (Indonesia)"", ""name:en"": ""Maritime Museum"", ""int_name"": ""Maritime Museum"", ""name:zh-Hant"": ""海事博物館"", ""wikipedia:en"": ""Maritime Museum (Indonesia)""}";14470;Museum Bahari, Jalan Pasar Ikan, RW 04, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14470, Indonesia
4;('node', 4245414255);Museum Basuki Abdoellah;nan;nan;tourism;museum;-628.977;106.793.269;Jawa;Jakarta Selatan;Cilandak;Cilandak Barat;12710;Jl. Keuangan Raya;19;nan;Jl. Keuangan Raya, Kel. Cilandak Barat, Kec. Cilandak, Jakarta Selatan, Jawa, 12710;;Nama: Museum Basuki Abdoellah. Kategori: tourism. Jenis: museum. Lokasi: Cilandak, Jakarta Selatan, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Tu-Fr 08:00-16:00;;;;;;;;;;;;;;;;;;;
5;('node', 4245428232);Museum Harry Darsono;nan;nan;tourism;museum;-6.289.216;106.801.886;Jawa;Jakarta Selatan;Cilandak;Cilandak Barat;12710;Jl. Cilandak Tengah No. 71;nan;nan;Jl. Cilandak Tengah No. 71, Kel. Cilandak Barat, Kec. Cilandak, Jakarta Selatan, Jawa, 12710;;Nama: Museum Harry Darsono. Kategori: tourism. Jenis: museum. Lokasi: Cilandak, Jakarta Selatan, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: nan. Tiket: nan;nan;nan;nan;-;-;nan;nan;-;nan;nan;-;nan;nan;FALSE;90.0;5;"{""addr:city"": ""South Jakarta"", ""addr:postcode"": ""12710"", ""addr:street"": ""Jl. Cilandak Tengah No. 71"", ""name"": ""Museum Harry Darsono"", ""tourism"": ""museum""}";12710;Museum Harry Darsono, Jalan Cilandak Tengah Raya, RW 01, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12710, Indonesia
6;('node', 6948483691);Museum Polri;Police Museum;Museum Polri;tourism;museum;-6.239.401;106.802.768;Jawa;Jakarta Selatan;Kebayoran Baru;Selong;12130;nan;nan;nan;nan, Kel. Selong, Kec. Kebayoran Baru, Jakarta Selatan, Jawa, 12130;;Nama: Museum Polri. Kategori: tourism. Jenis: museum. Lokasi: Kebayoran Baru, Jakarta Selatan, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: Mo-Su 08:00-15:00. Tiket: nan;nan;nan;nan;-;-;Mo-Su 08:00-15:00;nan;-;https://museumpolri.org/;nan;-;nan;nan;FALSE;90.0;7;"{""name"": ""Museum Polri"", ""opening_hours"": ""Mo-Su 08:00-15:00"", ""tourism"": ""museum"", ""name:en"": ""Police Museum"", ""website"": ""https://museumpolri.org/"", ""full_name"": ""Museum Kepolisian Negara Republik Indonesia"", ""name:id"": ""Museum Polri""}";nan;Museum Polri, Jalan Pattimura, RW 01, Selong, Kebayoran Baru, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12130, Indonesia
7;('node', 7117592125);Museum BNI;nan;nan;tourism;museum;-6.136.437;106.814.945;Jawa;Jakarta Barat;Taman Sari;Pinangsia;11110;nan;nan;nan;nan, Kel. Pinangsia, Kec. Taman Sari, Jakarta Barat, Jawa, 11110;;Nama: Museum BNI. Kategori: tourism. Jenis: museum. Lokasi: Taman Sari, Jakarta Barat, Jawa. Dikelola oleh: Bank Negara Indonesia. Berdiri sejak: nan. Jam Operasional: nan. Tiket: nan;nan;Bank Negara Indonesia;nan;-;-;nan;nan;-;nan;nan;-;nan;nan;FALSE;90.0;3;"{""name"": ""Museum BNI"", ""tourism"": ""museum"", ""operator"": ""Bank Negara Indonesia""}";nan;Museum BNI, Jalan Lada, RW 06, Pinangsia, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11110, Indonesia
8;('node', 11248180428);MOJA;nan;nan;tourism;museum;-6.217.657;106.803.402;Jawa;Jakarta Pusat;Tanah Abang;Gelora;10270;nan;nan;nan;nan, Kel. Gelora, Kec. Tanah Abang, Jakarta Pusat, Jawa, 10270;;Nama: MOJA. Kategori: tourism. Jenis: museum. Lokasi: Tanah Abang, Jakarta Pusat, Jawa. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: nan. Tiket: nan;nan;nan;nan;-;-;nan;nan;-;nan;nan;-;nan;nan;FALSE;90.0;3;"{""name"": ""MOJA"", ""tourism"": ""museum"", ""museum"": ""art""}";nan;MOJA, Jalan Lingkar Stadion, RW 01, Gelora, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10270, Indonesia
9;('relation', 5476480);Museum Seni Rupa dan Keramik;Museum of Fine Art and Ceramics;nan;tourism;museum;-6.134.249;106.814.473;Jawa;Jakarta Barat;Taman Sari;Pinangsia;11110;nan;nan;nan;nan, Kel. Pinangsia, Kec. Taman Sari, Jakarta Barat, Jawa, 11110;en:Museum of Fine Arts and Ceramics;Nama: Museum Seni Rupa dan Keramik. Kategori: tourism. Jenis: museum. Lokasi: Taman Sari, Jakarta Barat, Jawa. Deskripsi: en:Museum of Fine Arts and Ceramics. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: nan. Tiket: nan;nan;nan;nan;-;-;nan;nan;-;nan;nan;-;en:Museum of Fine Arts and Ceramics;nan;TRUE;100.0;15;"{""name"": ""Museum Seni Rupa dan Keramik"", ""name:nl"": ""Museum voor Schone Kunsten en Keramiek"", ""old_name"": ""Paleis van Justitie"", ""tourism"": ""museum"", ""wikipedia"": ""en:Museum of Fine Arts and Ceramics"", ""name:en"": ""Museum of Fine Art and Ceramics"", ""name:ja"": ""絵画・陶磁器博物館"", ""building"": ""yes"", ""building:levels"": ""2"", ""building:roof"": ""tin"", ""building:structure"": ""reinforced_masonry"", ""building:use"": ""commercial"", ""building:walls"": ""brick"", ""type"": ""multipolygon"", ""name:vi"": ""Bảo tàng Mỹ thuật và Gốm sứ""}";nan;Museum Seni Rupa dan Keramik, Jalan Kemukus, RW 06, Pinangsia, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11110, Indonesia
10;('relation', 7226303);Museum Bank Indonesia;Bank Indonesia Museum;nan;tourism;museum;-6.137.167;106.812.779;Jawa;Jakarta Barat;Taman Sari;Pinangsia;11110;nan;nan;nan;nan, Kel. Pinangsia, Kec. Taman Sari, Jakarta Barat, Jawa, 11110;en:Museum Bank Indonesia;Nama: Museum Bank Indonesia. Kategori: tourism. Jenis: museum. Lokasi: Taman Sari, Jakarta Barat, Jawa. Deskripsi: en:Museum Bank Indonesia. Dikelola oleh: nan. Berdiri sejak: nan. Jam Operasional: nan. Tiket: nan;nan;nan;nan;-;-;nan;nan;-;nan;nan;-;en:Museum Bank Indonesia;Q2521269;TRUE;100.0;9;"{""name"": ""Museum Bank Indonesia"", ""tourism"": ""museum"", ""wikidata"": ""Q2521269"", ""wikipedia"": ""en:Museum Bank Indonesia"", ""name:en"": ""Bank Indonesia Museum"", ""name:ja"": ""インドネシア銀行博物館"", ""building"": ""yes"", ""type"": ""multipolygon"", ""air_conditioning"": ""yes""}";nan;Museum Bank Indonesia, Jalan Pintu Besar Utara, RW 06, Pinangsia, Taman Sari, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11110, Indonesia
